question_id,question_text,options_json,correct_option,lesson,topic,subtopic,difficulty_label,question_type,question_origin,origin_detail,derivation_ref,quality_state,active,created_at,updated_at,image_url,has_figure,figure_type,figure_policy,figure_path,has_figure_ai,figure_type_ai,figure_confidence,has_figure_final
ai_20260114220401,,"{""A"": """", ""B"": """", ""C"": """", ""D"": """"}",A,Matematik,Cebirsel İfadeler,,2,mcq,ai_captured,soru_analiz_upload,,,true,2026-01-14T22:04:01.578867,,,true,scanned,no_variant,assets/questions/ai_20260114220401.png,,,,true
fen_dna_001,DNA'nın yapı birimi nedir?,"{""A"": ""Gen"", ""B"": ""Nükleotid"", ""C"": ""Kromozom"", ""D"": ""Hücre""}",B,Fen Bilimleri,DNA ve Genetik Kod,DNA Yapısı,4,mcq,publisher,YAYIN_B,,active,True,2025-12-05T18:11:12.939071,2025-12-05T18:11:12.939074,,False,none,no_variant,,False,none,0.0,"False"
fen_mevsim_001,Dünya'nın eksen eğikliği kaç derecedir?,"{""A"": ""23° 27'"", ""B"": ""27° 23'"", ""C"": ""90°"", ""D"": ""0°""}",A,Fen Bilimleri,Mevsimler ve İklim,Mevsimlerin Oluşumu,2,mcq,meb,MEB_KAZANIM,,active,True,2025-12-05T18:11:12.939049,2025-12-05T18:11:12.939052,,False,none,no_variant,,False,none,0.0,"False"
mat_karekok_001,Alanı 144 cm² olan karenin bir kenarı kaç cm'dir?,"{""A"": ""10"", ""B"": ""12"", ""C"": ""14"", ""D"": ""16""}",B,Matematik,Kareköklü İfadeler,Tam Kare Sayılar,3,mcq,publisher,YAYIN_A,,active,True,2025-12-05T18:11:12.939016,2025-12-05T18:11:12.939019,,False,none,no_variant,,False,none,0.0,"False"
mat_uslu_001,2 üzeri 3 kaçtır?,"{""A"": ""6"", ""B"": ""8"", ""C"": ""9"", ""D"": ""12""}",B,Matematik,Üslü İfadeler,Üslü Sayıların Özellikleri,2,mcq,meb,MEB_ORNEK,,active,True,2025-12-05T18:11:12.938947,2025-12-05T18:11:12.938957,,False,none,no_variant,,False,none,0.0,"False"
mat_uslu_002,Bir bakteri her saat 2'ye bölünerek çoğalıyor. 5 saat sonra kaç bakteri olur?,"{""A"": ""16"", ""B"": ""32"", ""C"": ""64"", ""D"": ""128""}",B,Matematik,Üslü İfadeler,Çözümleme,3,mcq,meb,LGS_2023,,active,True,2025-12-05T18:11:12.938989,2025-12-05T18:11:12.938994,,False,none,no_variant,,False,none,0.0,"False"
q_20251205222257_0,1. Bir kenarının uzunluğu √75 cm olan karenin çevre uzunluğu kaç santimetredir?,"{""A"": ""10√3"", ""B"": ""15√3"", ""C"": ""20√3"", ""D"": ""25√3""}",C,Matematik,Genel,Genel,2,mcq,ai_variant_of_publisher,Hız yayınevi-deneme,,,True,2025-12-05T22:22:57.496243,,,,,,,,,,""
q_20251205222258_1,"2. Aşağıda verilen büyük bir kare, 9 adet küçük özdeş karenin kenarlarının çakıştırılmasıyla elde edilmiştir. Küçük karelerden birinin alanı 32 cm² olduğuna göre büyük karenin alanı kaç santimetrekaredir?","{""A"": ""192"", ""B"": ""256"", ""C"": ""288"", ""D"": ""320""}",C,Matematik,Genel,Genel,2,mcq,ai_variant_of_publisher,Hız yayınevi-deneme,,,True,2025-12-05T22:22:58.622863,,,,,,,,,,""
q_20251205222300_2,3. Aşağıdaki sayılardan hangisi a ve b tam sayılar olmak üzere a/b şeklinde yazılamaz?,"{""A"": ""√16"", ""B"": ""0,75"", ""C"": ""π"", ""D"": ""-5/2""}",C,Matematik,Genel,Genel,3,mcq,ai_variant_of_publisher,Hız yayınevi-deneme,,,True,2025-12-05T22:23:00.223175,,,,,,,,,,""
q_20251205222301_3,4. Aşağıdakilerden hangisi alanı 100x⁶y⁸ santimetrekare olan karenin bir kenar uzunluğunun santimetre cinsinden değeri olamaz?,"{""A"": ""5x · 2x²y⁴"", ""B"": ""10x³y · y³"", ""C"": ""2x²y² · 5xy²"", ""D"": ""4x³y² · 5y²""}",D,Matematik,Genel,Genel,3,mcq,ai_variant_of_publisher,Hız yayınevi-deneme,,,True,2025-12-05T22:23:01.792314,,,,,,,,,,""
q_20251205230733_0,"Aşağıda bir okulun sergi salonunda kullanılan ikisi eş olmak üzere toplam üç tane dikdörtgen biçiminde tablo gösterilmiştir. Kenar uzunlukları santimetre cinsinden 50'den küçük birer tam sayı olan bu tabloların ön yüzlerinin alanı 1500 cm² ile 1700 cm² dir. Tabloların kısa kenar uzunlukları eşit olduğuna göre, ortadaki büyük tablo diğer tablolardan en az kaç santimetre uzundur?","{""A"": ""1"", ""B"": ""2"", ""C"": ""3"", ""D"": ""4""}",A,Matematik,Genel,Genel,4,mcq,ai_variant_of_publisher,Uploaded PDF,,,True,2025-12-05T23:07:33.353851,,,,,,,,,,""
q_20251205230739_1,"Kare şeklindeki bir duvar kenar uzunlukları 8 cm ve 12 cm olan dikdörtgen şeklindeki fayanslarla bir köşesinden başlanarak aşağıdaki gibi kaplanıyor. Fayanslar başladığı köşeden itibaren bir sıra yatay, bir sıra dikey olacak biçimde duvara yerleştiriliyor. Buna göre tamamı fayanslarla kaplanan kare şeklindeki bu duvarın alanı en az kaç santimetrekaredir?","{""A"": ""576"", ""B"": ""1444"", ""C"": ""2304"", ""D"": ""3600""}",C,Matematik,Genel,Genel,4,mcq,ai_variant_of_publisher,Uploaded PDF,,,True,2025-12-05T23:07:39.451652,,,,,,,,,,""
q_20251205231100_0,"Aşağıda Ayşe, Burak ve Cem'in beş günde çözdüğü soru sayıları tabloda verilmiştir. Beş günde toplamda en çok soru çözen Ayşe'dir. Perşembe günü en az soru çözen Burak'tır. Buna göre bu üç kişinin çözdüğü soru sayılarıyla ilgili aşağıdakilerden hangisi doğrudur?

**Ayşe'nin Çözdüğü Soru Sayıları:**
Pazartesi: 40, Salı: 70, Çarşamba: 50, Perşembe: 80, Cuma: 100

**Burak'ın Çözdüğü Soru Sayıları:**
Pazartesi: 50, Salı: 60, Çarşamba: 70, Perşembe: 40, Cuma: 90

**Cem'in Çözdüğü Soru Sayıları:**
Pazartesi: 30, Salı: 90, Çarşamba: 40, Perşembe: 60, Cuma: 80","{""A"": ""Burak beş günde toplam 320 soru çözmüştür."", ""B"": ""Salı günü en fazla soru çözen Cem'dir."", ""C"": ""Ayşe, Çarşamba günü 60 soru çözmüştür."", ""D"": ""Beş günde toplamda en az soru çözen kişi Ayşe'dir.""}",B,Matematik,Genel,Genel,3,mcq,ai_variant_of_publisher,Uploaded PDF,,,True,2025-12-05T23:11:00.307360,,,,,,,,,,""
q_20251205231102_1,"Şekil I'de verilen kare biçimindeki karton 16 eş bölüme ayrılıp her bölüme birer doğal sayı yazılıyor. Daha sonra karton, Şekil II'de belirtilen yönlerde (dikey olarak ortadan ikiye) katlanıyor. Buna göre kaç numaralı satırda üst üste gelen tüm sayı çiftleri aralarında asaldır?

Şekil II:
I. [6, 10, 15, 8]
II. [1, 14, 21, 5]
III. [7, 12, 25, 11]
IV. [18, 20, 30, 24]","{""A"": ""I"", ""B"": ""II"", ""C"": ""III"", ""D"": ""IV""}",C,Matematik,Genel,Genel,4,mcq,ai_variant_of_publisher,Uploaded PDF,,,True,2025-12-05T23:11:02.138110,,,,,,,,,,""
q_20251205233711_0,"Aşağıda dikdörtgen biçiminde bir kağıt verilmiştir. Bu kağıt önce uzun kenarı boyunca ikiye katlanarak Şekil 1 elde ediliyor. Daha sonra Şekil 1'deki kağıt tekrar uzun kenarı boyunca ikiye katlanarak Şekil 2 elde ediliyor. Şekil 2'deki bu kağıt bir kare olduğuna göre ve alanı 16³ mm² olduğuna göre, başlangıçtaki dikdörtgen kağıdın uzun kenarı kaç milimetredir?","{""A"": ""2⁶"", ""B"": ""2⁷"", ""C"": ""2⁸"", ""D"": ""2⁹""}",C,Matematik,Genel,Genel,3,mcq,ai_variant_of_publisher,Hız yayınevi-deneme,,,True,2025-12-05T23:37:11.030900,,,,,,,,,,""
q_20251205233712_1,"Bir yüzme yarışmasında sporculardan Ayşe'nin yarışı bitirme süresi saniye cinsinden çözümlenmiş biçimde aşağıda verilmiştir:
Ayşe: (5 · 10¹ + 2 · 10⁰ + 3 · 10⁻¹ + 8 · 10⁻²) sn.
Buna göre Ayşe'nin yarışı bitirme süresi aşağıdakilerden hangisidir?","{""A"": ""52,83"", ""B"": ""53,28"", ""C"": ""52,38"", ""D"": ""53,82""}",C,Matematik,Genel,Genel,2,mcq,ai_variant_of_publisher,Hız yayınevi-deneme,,,True,2025-12-05T23:37:12.508148,,,,,,,,,,""
q_20251205234833_0,"11. m (kütle), d (yoğunluk) ve V (hacim) olmak üzere m = d • V formülü ile kütle hesabı yapılmaktadır. Kumun üzerine su dökülünce kum taneciklerinin arasındaki hava boşluklarına su yerleşir ve beklenen hacimden daha az hacim elde edilir. Beklenen hacim ile elde edilen hacim arasındaki fark, kum tanecikleri arasındaki havanın hacmini verir. Aşağıda Şekil I'de 300 litre seviyesine kadar kumla dolu bir havuz verilmiştir. Bu havuz 420 litre su ile doldurulduğunda karışımın seviyesi Şekil II'deki gibi 650 litre oluyor. Kum taneciklerinin arasında kalan havanın yoğunluğunun 5 • 10⁻¹¹ kg/L olduğu bilinmektedir. Buna göre ilk durumda kumdaki havanın kütlesinin kilogram cinsinden bilimsel gösterimi aşağıdakilerden hangisidir?","{""A"": ""3,5 • 10⁻⁹"", ""B"": ""3,5 • 10⁻¹⁰"", ""C"": ""7 • 10⁻⁹"", ""D"": ""7 • 10⁻¹⁰""}",A,Matematik,Genel,Genel,3,mcq,ai_variant_of_publisher,Hız yayınevi-deneme,,,True,2025-12-05T23:48:33.431218,,,,,,,,,,""
q_20251205234834_1,"12. Aşağıda Şekil 1'de bir mağazada satılan yatağın bazasız hâlindeki ayaklarının uzunluğu verilmiştir. Mağazada bu yatağa özdeş olan bir yatağın ayaklarının sökülüp altına zemine temas edecek biçimde baza yerleştirilmiş hâli ise Şekil 2'de gösterilmiştir. Şekil 1'deki yatağın ayak yüksekliği 5√3 cm'dir. Bazanın yüksekliği (?), ayak yüksekliğinden 15 cm daha fazla olduğuna göre, bazanın santimetre cinsinden yüksekliği hangi ardışık iki tam sayı arasındadır?","{""A"": ""22 ile 23"", ""B"": ""23 ile 24"", ""C"": ""24 ile 25"", ""D"": ""25 ile 26""}",B,Matematik,Genel,Genel,3,mcq,ai_variant_of_publisher,Hız yayınevi-deneme,,,True,2025-12-05T23:48:34.985574,,,,,,,,,,""
q_20251212_002140,"Dairesel bir yarış pistini yarışmacılardan birisi 12 dakikada, diğeri 14 dakikada turluyor.
Yarış pistini aynı anda, aynı yöne doğru aynı noktadan turlamaya başlayan iki yarışmacı turlamaya başladıkları noktada tekrar aynı anda bulundukları anda yarışı bırakıyor.
Buna göre, yarışmacıların attıkları toplam tur sayısı kaçtır?","{""A"": """", ""B"": """", ""C"": """", ""D"": """"}",C,Matematik,EKOK (En Küçük Ortak Kat),,3,mcq,ai_captured,soru_analiz_upload,,,True,2025-12-12T00:22:02.798884,,,True,scanned,no_variant,assets/questions/q_20251212_002140.png,,,,True
q_20251223_160050,"Bir galeride satılan A, B ve C marka araçların sayıca dağılımı Grafik 1'de, aynı araçların kendi içlerinde renklerine göre sayıca dağılımları ise Grafik 2, Grafik 3 ve Grafik 4'te gösterilmiştir. Bu galeride bulunan toplam gri renkli araç sayısı 1175 olduğuna göre, galerideki toplam araç sayısı kaçtır?","{""A"": """", ""B"": """", ""C"": """", ""D"": """"}",A,Matematik,Veri Analizi,Daire Grafiği Yorumlama,3,mcq,ai_captured,soru_analiz_upload,,,True,2025-12-23T16:04:30.439053,,,True,scanned,no_variant,assets/questions/q_20251223_160050.png,,,,True
q_20251223_205914,"A, B ve C marka araçların dağılımı ile bu araçların kendi içlerindeki renk dağılımları daire grafikleriyle verilmiştir. Toplam gri araç sayısı 1175 olduğuna göre galerideki toplam araç sayısı kaçtır?","{""A"": """", ""B"": """", ""C"": """", ""D"": """"}",A,Matematik,Veri Analizi,Daire Grafiği,4,mcq,ai_captured,soru_analiz_upload,,,True,2025-12-23T21:00:52.874904,,,True,scanned,no_variant,assets/questions/q_20251223_205914.png,,,,True
q_20251224_204550,Verilen 6 kartın orta kısmındaki köklü ifadelerin yaklaşık değerlerine göre alt ve üst tam sayı değerleri çarpılıyor. Bu çarpımlardan elde edilen sayıların 3 tane asal çarpana sahip olma olasılığı sorulmaktadır.,"{""A"": """", ""B"": """", ""C"": """", ""D"": """"}",C,Matematik,LGS Matematik,"Kareköklü İfadeler, Çarpanlar ve Katlar, Olasılık",3,mcq,ai_captured,soru_analiz_upload,,,True,2025-12-24T21:03:49.563626,,,True,scanned,no_variant,assets/questions/q_20251224_204550.png,,,,True
q_20251224_210718,Tartılarda ölçülen elma ve armut kütleleri arasındaki farkın ondalık çözümlemesini bulma.,"{""A"": """", ""B"": """", ""C"": """", ""D"": """"}",A,Matematik,Üslü İfadeler,Ondalık Gösterimlerin Çözümlenmesi,3,mcq,ai_captured,soru_analiz_upload,,,True,2025-12-24T21:26:03.410653,,,True,scanned,no_variant,assets/questions/q_20251224_210718.png,,,,True
q_20260105_192802,"Selim Bey, her biri 600 TL olan 40 kg'lik börülce veya 25 kg'lik barbunya çuvallarından birini seçecektir. Hangi türü seçerse seçsin toplam ağırlık aynı olacaktır. Daha ucuz olanı tercih edip 10000 TL'den fazla ödediğine göre, diğerini seçseydi en az kaç TL daha fazla öderdi?","{""A"": """", ""B"": """", ""C"": """", ""D"": """"}",D,Matematik,Çarpanlar ve Katlar,EKOK (En Küçük Ortak Kat),3,mcq,ai_captured,soru_analiz_upload,,,True,2026-01-05T19:42:32.170424,,,True,scanned,no_variant,assets/questions/q_20260105_192802.png,,,,True
q_20260105_200228,Bir kenar uzunluğu kök 18 cm olan ABCD dikdörtgeninin alanı bir doğal sayı olduğuna göre |AB| kenar uzunluğu aşağıdakilerden hangisi olabilir?,"{""A"": """", ""B"": """", ""C"": """", ""D"": """"}",D,Matematik,Kareköklü İfadeler,Kareköklü İfadelerde Çarpma İşlemi ve Sonucu Doğal Sayı Yapan Çarpanlar,2,mcq,ai_captured,soru_analiz_upload,,,True,2026-01-05T20:09:17.924129,,,True,scanned,no_variant,assets/questions/q_20260105_200228.png,,,,True
q_20260113_213155,"Suyun elektrolizi ile bileşenlerine ayrılması deneyi görselde verilmiştir. Kapalı bir kapta gerçekleşen bu deneye göre, verilen ifadelerden hangisinin doğru olduğu sorulmaktadır.","{""A"": """", ""B"": """", ""C"": """", ""D"": """"}",A,Matematik,Kimyasal Tepkimeler,Kütlenin ve Atomların Korunumu,3,mcq,ai_captured,soru_analiz_upload,,,true,2026-01-13T21:31:59.444913,,,true,scanned,no_variant,assets/questions/q_20260113_213155.png,,,,true
q_20260113_213407,"DNA eşlenmesi sürecini gösteren bir görsel verilmiştir. Orijinal DNA'nın 1. ve 2. zincirleri ayrılır ve her birinden yeni K ve L zincirleri sentezlenir. Buna göre, DNA eşlenmesi ile ilgili doğru ifadeyi bulmak amaçlanmaktadır.","{""A"": """", ""B"": """", ""C"": """", ""D"": """"}",A,Matematik,Kalıtım ve Biyoteknoloji,DNA ve Genetik Kod - DNA Eşlenmesi,3,mcq,ai_captured,soru_analiz_upload,,,true,2026-01-13T21:36:32.054244,,,true,scanned,no_variant,assets/questions/q_20260113_213407.png,,,,true
q_jit_20251205184943_0,Aşağıdaki sayılardan hangisi 2 ile tam bölünemez?,"{""A"": ""48"", ""B"": ""102"", ""C"": ""315"", ""D"": ""2024""}",C,Matematik,"Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",2,mcq,ai_generated_jit,JIT Fallback,,,True,2025-12-05T18:49:43.480398,,,,,,,,,,""
q_jit_20251205184944_1,Aşağıdaki sayılardan hangisi 3 ile tam bölünür?,"{""A"": ""125"", ""B"": ""236"", ""C"": ""417"", ""D"": ""502""}",C,Matematik,"Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",3,mcq,ai_generated_jit,JIT Fallback,,,True,2025-12-05T18:49:44.364375,,,,,,,,,,""
