content_id,lesson,topic,subtopic,publisher,source_type,content_type,difficulty_band,estimated_time_min,summary_bullets,strategy_steps,common_mistakes,mini_check_stem,mini_check_options_json,mini_check_correct_option,page_ref,status,active,created_at,derivation_ref
mat_uslu_001,Matematik,Üslü İfadeler,Üslü Sayıların Özellikleri,Manuel,manuel,fiche,3,5,- Tabanları aynı olan üslü ifadeler çarpılırken üsler toplanır.\n- Üssün üssü alınırken üsler çarpılır.,1. Tabanları kontrol et.\n2. İşlem önceliğine dikkat et.\n3. Sonucu en sade hale getir.,- Negatif sayıların çift kuvvetini negatif sanmak.\n- Çarpma işleminde üsleri çarpmak (toplanmalı).,2^3 * 2^2 işleminin sonucu nedir?,{},2^5 (32),,approved,True,2025-12-05T17:35:52.675278,
mat_karekok_001,Matematik,Kareköklü İfadeler,Tam Kare Sayılar,Manuel,manuel,fiche,3,5,"- Tam kare sayılar kök dışına tam sayı olarak çıkar.\n- 1, 4, 9, 16, 25... tam karedir.",1. Sayının hangi sayının karesi olduğunu bul.\n2. Kök dışına çıkar.,- Kök içindeki toplama işlemini ayrı ayrı çıkarmak (kök(9+16) != 3+4).,Kök 144 kaçtır?,{},12,,approved,True,2025-12-05T17:35:52.675301,
fen_mevsim_001,Fen Bilimleri,Mevsimler ve İklim,Mevsimlerin Oluşumu,Manuel,manuel,fiche,3,5,"- Mevsimler, Dünya'nın eksen eğikliği ve Güneş etrafındaki dolanımı sonucu oluşur.\n- Eksen eğikliği 23 derece 27 dakikadır.","1. Tarihlere dikkat et (21 Haziran, 21 Aralık).\n2. Hangi yarım kürede olduğunu belirle.",- Güneş'e yakınlığın mevsimleri oluşturduğunu sanmak (Yanlış).,Kuzey Yarım Küre'de en uzun gündüz hangi tarihtedir?,{},21 Haziran,,approved,True,2025-12-05T17:35:52.675309,
CNT-0001,Matematik,"Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",Uploaded PDF,ai_generated,micro_lesson,2,4,"[""Bir sayının 2 ile tam bölünebilmesi için birler basamağının çift rakam (0, 2, 4, 6, 8) olması gerekir."", ""Birler basamağı tek olan sayılar 2 ile bölünmez, bu durumda kalan her zaman 1 olur."", ""Çift sayılar 2'nin katıdır, tek sayılar 2'nin katı değildir."", ""Örnek: 12, 36, 124, 3150 sayıları 2 ile tam bölünür çünkü birler basamakları çifttir.""]",[],"[""Sadece sayının ilk basamağına bakarak bölünebilirliği değerlendirmek."", ""Tek sayıları (örneğin 1, 3, 5, 7, 9 ile biten) 2 ile bölünebilir sanmak.""]",Aşağıdaki sayılardan hangisi 2 ile tam bölünemez?,"{""A"": ""124"", ""B"": ""350"", ""C"": ""786"", ""D"": ""913""}",D,PDF s.2,approved,True,2025-12-05T17:31:05.329392,
CNT-0002,Matematik,"Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",Uploaded PDF,ai_generated,micro_lesson,2,5,"[""Bir sayının 3 ile tam bölünebilmesi için basamaklarındaki rakamların toplamının 3'ün katı olması gerekir."", ""Eğer rakamlar toplamı 3'ün katı değilse, sayı 3 ile tam bölünmez."", ""Bir sayının 3'e bölümünden kalanı bulmak için, rakamlar toplamının 3'e bölümünden kalana bakılır."", ""Örnek: 324 sayısının rakamları toplamı 3+2+4=9'dur. 9, 3'ün katı olduğu için 324 sayısı 3 ile tam bölünür.""]","[""Verilen sayının tüm basamaklarındaki rakamları toplayın."", ""Elde ettiğiniz toplamın 3'e bölünüp bölünmediğini kontrol edin."", ""Eğer toplam 3'e bölünüyorsa, sayı da 3'e tam bölünür.""]","[""Sadece son basamağa bakarak 3 ile bölünebilirliği değerlendirmek."", ""Rakamlar toplamını yanlış hesaplamak veya büyük sayılarda toplama hatası yapmak.""]","Üç basamaklı '3A5' sayısı 3 ile tam bölünebildiğine göre, A yerine yazılabilecek rakamların toplamı kaçtır?","{""A"": ""9"", ""B"": ""12"", ""C"": ""15"", ""D"": ""18""}",B,PDF s.2,approved,True,2025-12-05T17:31:07.191241,
CNT-0003,Matematik,"Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",Uploaded PDF,ai_generated,micro_lesson,3,5,"[""Bir sayının 4 ile tam bölünebilmesi için son iki basamağının oluşturduğu sayının 4'ün katı olması gerekir."", ""Son iki basamağı '00' olan sayılar da 4 ile tam bölünür."", ""Sayı ne kadar büyük olursa olsun, 4 ile bölünebilirlik için sadece son iki basamağa bakmak yeterlidir."", ""Örnek: 16, 100, 224, 1148 sayıları 4 ile tam bölünür çünkü son iki basamakları (16, 00, 24, 48) 4'ün katıdır.""]","[""Verilen sayının birler ve onlar basamağındaki rakamları belirleyin."", ""Bu iki basamağın oluşturduğu iki basamaklı sayının 4'e bölünüp bölünmediğini kontrol edin."", ""Eğer son iki basamak 4'e bölünüyorsa, sayının tamamı da 4'e bölünür.""]","[""Sadece son basamağa bakarak 4 ile bölünebilirliği değerlendirmek."", ""Sayının tamamını 4'e bölmeye çalışarak zaman kaybetmek.""]",Aşağıdaki sayılardan hangisi 4 ile tam bölünemez?,"{""A"": ""1200"", ""B"": ""3416"", ""C"": ""5734"", ""D"": ""8952""}",C,PDF s.2,draft,False,2025-12-05T17:31:08.643858,
CNT-0004,Matematik,"Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",Uploaded PDF,ai_generated,micro_lesson,2,3,"[""Bir sayının 5 ile tam bölünebilmesi için birler basamağının 0 veya 5 olması gerekir."", ""Birler basamağı 0 veya 5 değilse, sayı 5 ile tam bölünmez."", ""Bir sayının 5'e bölümünden kalan, o sayının birler basamağının 5'e bölümünden kalana eşittir."", ""Örnek: 20, 45, 125, 730 sayıları 5 ile tam bölünür çünkü birler basamakları 0 veya 5'tir.""]",[],"[""Sayının diğer basamaklarına da bakmaya çalışarak kuralı karmaşıklaştırmak."", ""Birler basamağı 2 veya 7 olan sayıları (örneğin 12, 17) 5 ile bölünebilir sanmak.""]","Birler basamağı A olan 74A sayısı 5 ile tam bölünebildiğine göre, A yerine kaç farklı rakam yazılabilir?","{""A"": ""1"", ""B"": ""2"", ""C"": ""3"", ""D"": ""4""}",B,PDF s.2,draft,False,2025-12-05T17:31:10.287990,
CNT-0005,Matematik,"Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",Uploaded PDF,ai_generated,micro_lesson,3,6,"[""Bir sayının 6 ile tam bölünebilmesi için hem 2 ile hem de 3 ile tam bölünmesi gerekir."", ""Bu, sayının birler basamağının çift olması (2 ile bölünebilme) ve rakamları toplamının 3'ün katı olması (3 ile bölünebilme) demektir."", ""İki kuraldan herhangi biri sağlanmazsa, sayı 6 ile tam bölünmez."", ""Örnek: 72 sayısı hem 2'ye (birler basamağı 2) hem de 3'e (7+2=9, 3'ün katı) bölündüğü için 6 ile tam bölünür.""]","[""Önce sayının 2 ile bölünüp bölünmediğini kontrol edin (birler basamağı çift mi?)."", ""Ardından sayının 3 ile bölünüp bölünmediğini kontrol edin (rakamlar toplamı 3'ün katı mı?)."", ""Her iki koşul da sağlanıyorsa, sayı 6 ile tam bölünür.""]","[""Sadece 2 ile veya sadece 3 ile bölünebilirliğe bakarak karar vermek."", ""Rakamlar toplamını yanlış hesaplamak veya çift rakam kuralını unutmak.""]","Dört basamaklı '23A4' sayısı 6 ile tam bölünebildiğine göre, A yerine yazılabilecek rakamların toplamı kaçtır?","{""A"": ""12"", ""B"": ""15"", ""C"": ""18"", ""D"": ""21""}",C,PDF s.2,draft,False,2025-12-05T17:31:11.885743,
CNT-0006,Matematik,"Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",Uploaded PDF,ai_generated,micro_lesson,2,4,"[""Bir sayının 9 ile tam bölünebilmesi için basamaklarındaki rakamların toplamının 9'un katı olması gerekir."", ""Bu kural, 3 ile bölünebilme kuralına benzerdir, ancak toplamın 9'un katı olması şarttır."", ""Rakamlar toplamı 9'un katı değilse, sayı 9 ile tam bölünmez ve kalan, rakamlar toplamının 9'a bölümünden kalana eşittir."", ""Örnek: 387 sayısının rakamları toplamı 3+8+7=18'dir. 18, 9'un katı olduğu için 387 sayısı 9 ile tam bölünür.""]","[""Verilen sayının tüm basamaklarındaki rakamları toplayın."", ""Elde ettiğiniz toplamın 9'a bölünüp bölünmediğini kontrol edin."", ""Eğer toplam 9'a bölünüyorsa, sayı da 9 ile tam bölünür.""]","[""3 ile bölünebilme kuralıyla karıştırmak ve rakamlar toplamının sadece 3'ün katı olmasını yeterli sanmak."", ""Rakamlar toplamını yanlış hesaplamak, özellikle çok basamaklı sayılarda.""]","Beş basamaklı '45X21' sayısı 9 ile tam bölünebildiğine göre, X yerine hangi rakam gelmelidir?","{""A"": ""3"", ""B"": ""5"", ""C"": ""6"", ""D"": ""9""}",C,PDF s.2,draft,False,2025-12-05T17:31:13.010291,
CNT-0007,Matematik,"Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",Uploaded PDF,ai_generated,micro_lesson,1,3,"[""Bir sayının 10 ile tam bölünebilmesi için birler basamağının 0 olması gerekir."", ""Birler basamağı 0 değilse, sayı 10 ile tam bölünmez."", ""Bir sayının 10'a bölümünden kalan, o sayının birler basamağındaki rakamdır."", ""Örnek: 50, 90, 170, 1320 sayıları 10 ile tam bölünür çünkü birler basamakları 0'dır.""]",[],"[""Sadece sayının büyük olmasına aldanıp kuralı unutmak."", ""Birler basamağı 5 olan sayıları (örneğin 15, 25) 10 ile bölünebilir sanmak.""]",Aşağıdaki sayılardan hangisinin 10 ile bölümünden kalan 7'dir?,"{""A"": ""120"", ""B"": ""345"", ""C"": ""567"", ""D"": ""780""}",C,PDF s.2,draft,False,2025-12-05T17:31:14.068341,
CNT-0008,Matematik,"Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",Uploaded PDF,ai_generated,worked_example,4,8,"[""Bölünebilme kuralları, bir sayının belirli bir sayıya kalansız bölünüp bölünmediğini hızlıca tespit etmemizi sağlar."", ""Özellikle birden fazla asal çarpanı olan sayılar için (örneğin 6, 12, 15 gibi), ilgili asal çarpanların bölünebilme kurallarının hepsini sağlaması gerekir."", ""LGS'de bu kurallar, çarpanlar, katlar, EBOB ve EKOK problemlerinin temelini oluşturur.""]","[""İncelenecek sayıyı ve kontrol edilecek bölünebilme kuralını belirleyin."", ""İlgili bölünebilme kuralını (2, 3, 4, 5, 6, 9, 10) uygulayın."", ""Eğer sayı 6 gibi birden fazla kural gerektiren bir sayıya bölünecekse (hem 2'ye hem 3'e), her iki kuralı da sırayla kontrol edin."", ""Sonucu (bölünür/bölünmez) doğru bir şekilde işaretleyin veya not alın.""]","[""Farklı bölünebilme kurallarını birbiriyle karıştırmak (örneğin 3 ve 9 kuralları)."", ""Çok basamaklı sayılarda rakamlar toplamı gibi işlemlerde hata yapmak."", ""6 gibi sayılar için sadece bir kuralı (örneğin sadece 2'ye bölünebilirliği) kontrol etmek.""]","Yukarıdaki tabloda verilen bilgilere göre, 219 sayısı hangi sayılara tam bölünür?","{""A"": ""Sadece 3"", ""B"": ""Sadece 9"", ""C"": ""3 ve 9"", ""D"": ""2, 3 ve 9""}",A,PDF s.2,draft,False,2025-12-05T17:31:15.155860,
