"answer_id","exam_id","student_id","question_id","given_option","is_correct","created_at"
"ans_20251205185029_q_jit_20251205184947_3","exam_20251205_184949","pilot_ogrenci_01","q_jit_20251205184947_3","B","False","2025-12-05T18:50:29.778365"
"ans_20251205185031_q_jit_20251205184945_2","exam_20251205_184949","pilot_ogrenci_01","q_jit_20251205184945_2","C","False","2025-12-05T18:50:31.273380"
"ans_20251205185031_q_jit_20251205184948_4","exam_20251205_184949","pilot_ogrenci_01","q_jit_20251205184948_4","D","False","2025-12-05T18:50:31.838792"
"ans_20251205185032_q_jit_20251205184943_0","exam_20251205_184949","pilot_ogrenci_01","q_jit_20251205184943_0","D","False","2025-12-05T18:50:32.355222"
"ans_20251205185032_q_jit_20251205184944_1","exam_20251205_184949","pilot_ogrenci_01","q_jit_20251205184944_1","C","True","2025-12-05T18:50:32.884982"
"ans_20251206070514_q_jit_20251205184944_1","exam_20251206_070453","pilot_ogrenci_01","q_jit_20251205184944_1","B","False","2025-12-06T07:05:14.698292"
"ans_20251206070516_q_jit_20251205220512_2","exam_20251206_070453","pilot_ogrenci_01","q_jit_20251205220512_2","B","True","2025-12-06T07:05:16.253506"
"ans_20251206070517_q_jit_20251205220515_4","exam_20251206_070453","pilot_ogrenci_01","q_jit_20251205220515_4","D","False","2025-12-06T07:05:17.784200"
"ans_20251206070519_q_jit_20251205184945_2","exam_20251206_070453","pilot_ogrenci_01","q_jit_20251205184945_2","D","True","2025-12-06T07:05:19.313940"
"ans_20251206070520_q_jit_20251205215146_0","exam_20251206_070453","pilot_ogrenci_01","q_jit_20251205215146_0","B","False","2025-12-06T07:05:20.864416"
"ans_20251208181542_q_jit_20251205215151_3","exam_20251208_181531","pilot_ogrenci_01","q_jit_20251205215151_3","BOS","False","2025-12-08T18:15:42.975506"
"ans_20251208181543_q_jit_20251205215149_2","exam_20251208_181531","pilot_ogrenci_01","q_jit_20251205215149_2","BOS","False","2025-12-08T18:15:43.522599"
"ans_20251208181544_q_jit_20251205184947_3","exam_20251208_181531","pilot_ogrenci_01","q_jit_20251205184947_3","BOS","False","2025-12-08T18:15:44.071692"
"ans_20251208181544_q_jit_20251205214113_0","exam_20251208_181531","pilot_ogrenci_01","q_jit_20251205214113_0","BOS","False","2025-12-08T18:15:44.599885"
"ans_20251208181545_q_jit_20251205220514_3","exam_20251208_181531","pilot_ogrenci_01","q_jit_20251205220514_3","BOS","False","2025-12-08T18:15:45.147991"
"ans_20251208181837_q_jit_20251205214119_4","exam_20251208_181605","pilot_ogrenci_01","q_jit_20251205214119_4","BOS","False","2025-12-08T18:18:37.068195"
"ans_20251208181837_q_jit_20251205215148_1","exam_20251208_181605","pilot_ogrenci_01","q_jit_20251205215148_1","B","False","2025-12-08T18:18:37.771893"
"ans_20251208181838_q_jit_20251205214118_3","exam_20251208_181605","pilot_ogrenci_01","q_jit_20251205214118_3","BOS","False","2025-12-08T18:18:38.298013"
"ans_20251208181838_q_jit_20251205184947_3","exam_20251208_181605","pilot_ogrenci_01","q_jit_20251205184947_3","BOS","False","2025-12-08T18:18:38.841337"
"ans_20251208181839_q_jit_20251205214113_0","exam_20251208_181605","pilot_ogrenci_01","q_jit_20251205214113_0","BOS","False","2025-12-08T18:18:39.361668"
