schedule_id,student_id,day_of_week,block_start,block_end,block_type,task_type,target_desc,is_active,is_completed
Mon_blk_1,pilot_ogrenci_01,Monday,14:30,15:00,etut,Blok 1: Konu Çalışması,Otomatik oluşturuldu,True,False
Mon_brk_1,pilot_ogrenci_01,Monday,15:00,15:10,mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Mon_blk_2,pilot_ogrenci_01,Monday,15:10,15:40,etut,Blok 2: Konu Çalışması,Otomatik oluşturuldu,True,False
Mon_brk_2,pilot_ogrenci_01,Monday,15:40,16:10,uzun_mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Mon_blk_3,pilot_ogrenci_01,Monday,16:10,16:40,etut,Blok 3: Konu Çalışması,Otomatik oluşturuldu,True,False
Mon_brk_3,pilot_ogrenci_01,Monday,16:40,16:50,mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Mon_blk_4,pilot_ogrenci_01,Monday,16:50,17:20,etut,Blok 4: Konu Çalışması,Otomatik oluşturuldu,True,False
Mon_brk_4,pilot_ogrenci_01,Monday,17:20,17:50,uzun_mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Mon_blk_5,pilot_ogrenci_01,Monday,17:50,18:20,etut,Blok 5: Konu Çalışması,Otomatik oluşturuldu,True,False
Tue_blk_1,pilot_ogrenci_01,Tuesday,14:30,15:00,etut,Blok 1: Konu Çalışması,Otomatik oluşturuldu,True,False
Tue_brk_1,pilot_ogrenci_01,Tuesday,15:00,15:10,mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Tue_blk_2,pilot_ogrenci_01,Tuesday,15:10,15:40,etut,Blok 2: Konu Çalışması,Otomatik oluşturuldu,True,False
Tue_brk_2,pilot_ogrenci_01,Tuesday,15:40,16:10,uzun_mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Tue_blk_3,pilot_ogrenci_01,Tuesday,16:10,16:40,etut,Blok 3: Konu Çalışması,Otomatik oluşturuldu,True,False
Tue_brk_3,pilot_ogrenci_01,Tuesday,16:40,16:50,mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Tue_blk_4,pilot_ogrenci_01,Tuesday,16:50,17:20,etut,Blok 4: Konu Çalışması,Otomatik oluşturuldu,True,False
Tue_brk_4,pilot_ogrenci_01,Tuesday,17:20,17:50,uzun_mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Tue_blk_5,pilot_ogrenci_01,Tuesday,17:50,18:20,etut,Blok 5: Konu Çalışması,Otomatik oluşturuldu,True,False
Wed_blk_1,pilot_ogrenci_01,Wednesday,14:30,15:00,etut,Blok 1: Konu Çalışması,Otomatik oluşturuldu,True,False
Wed_brk_1,pilot_ogrenci_01,Wednesday,15:00,15:10,mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Wed_blk_2,pilot_ogrenci_01,Wednesday,15:10,15:40,etut,Blok 2: Konu Çalışması,Otomatik oluşturuldu,True,False
Wed_brk_2,pilot_ogrenci_01,Wednesday,15:40,16:10,uzun_mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Wed_blk_3,pilot_ogrenci_01,Wednesday,16:10,16:40,etut,Blok 3: Konu Çalışması,Otomatik oluşturuldu,True,False
Wed_brk_3,pilot_ogrenci_01,Wednesday,16:40,16:50,mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Wed_blk_4,pilot_ogrenci_01,Wednesday,16:50,17:20,etut,Blok 4: Konu Çalışması,Otomatik oluşturuldu,True,False
Wed_brk_4,pilot_ogrenci_01,Wednesday,17:20,17:50,uzun_mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Wed_blk_5,pilot_ogrenci_01,Wednesday,17:50,18:20,etut,Blok 5: Konu Çalışması,Otomatik oluşturuldu,True,False
Thu_blk_1,pilot_ogrenci_01,Thursday,14:30,15:00,etut,Blok 1: Konu Çalışması,Otomatik oluşturuldu,True,False
Thu_brk_1,pilot_ogrenci_01,Thursday,15:00,15:10,mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Thu_blk_2,pilot_ogrenci_01,Thursday,15:10,15:40,etut,Blok 2: Konu Çalışması,Otomatik oluşturuldu,True,False
Thu_brk_2,pilot_ogrenci_01,Thursday,15:40,16:10,uzun_mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Thu_blk_3,pilot_ogrenci_01,Thursday,16:10,16:40,etut,Blok 3: Konu Çalışması,Otomatik oluşturuldu,True,False
Thu_brk_3,pilot_ogrenci_01,Thursday,16:40,16:50,mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Thu_blk_4,pilot_ogrenci_01,Thursday,16:50,17:20,etut,Blok 4: Konu Çalışması,Otomatik oluşturuldu,True,False
Thu_brk_4,pilot_ogrenci_01,Thursday,17:20,17:50,uzun_mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Thu_blk_5,pilot_ogrenci_01,Thursday,17:50,18:20,etut,Blok 5: Konu Çalışması,Otomatik oluşturuldu,True,False
